source,target,waypoint_list,reversible
C0,C1,segments/edge_C0_C1.csv,1
C1,C2,segments/edge_C1_C2.csv,1
C1,C7,segments/edge_C1_C7.csv,1
C2,C3,segments/edge_C2_C3.csv,1
C3,C1,segments/edge_C3_C1.csv,1
C3,C5,segments/edge_C3_C5.csv,1
C4,C3,segments/edge_C4_C3.csv,1
C5,C4,segments/edge_C5_C4.csv,1
C6,C5,segments/edge_C6_C5.csv,1
C7,C6,segments/edge_C7_C6.csv,1
