label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C3,35.6496953,139.502871,31.181899996216607,1.443386924093366,-1.9502335535647517,0,0,-0.7190402284865123,0.693884389165559,0,0,0,0,1
C3_1,35.6496953,139.50287129999998,31.171747486759863,1.4208852470621711,-1.9422941684498507,0,0,-0.9702849918079064,0.2368737585007992,0,0,0,0,1
C3_2,35.6496952,139.5028699,30.94368924613539,1.321384932541586,-1.9285118552571343,0,0,-0.999104307665581,-0.0002928694496399,0,0,0,0,1
C3_3,35.6496955,139.50286839999998,30.713172360690105,1.394997582115967,-1.882920534103224,0,0,-0.9988450023083728,0.0014493422137514,0,0,0,0,1
C3_4,35.6496987,139.50284109999998,28.24850486851903,1.2551069300089055,-1.7562621317424771,0,0,-0.9990875313137892,-0.0052591048505121,0,0,0,0,1
C3_5,35.6497016,139.50282289999998,26.6628377763534,1.2653386915898062,-1.6634410446595789,0,0,-0.9992350670017338,0.0007811600717496,0,0,0,0,1
C3_6,35.6497021,139.5028182,26.19124301555756,1.2761279376461576,-1.6074943916129596,0,0,-0.9990262901305872,-0.0027452992646989,0,0,0,0,1
C3_7,35.6497045,139.5028042,24.773700653403587,1.209763567231269,-1.5558050908991188,0,0,-0.9986900671025872,0.0237853947469818,0,0,0,0,1
C3_8,35.649704199999995,139.50279609999998,23.94554028701517,1.1149129778326312,-1.560230835416298,0,0,-0.998555933595458,-0.0263059235855443,0,0,0,0,1
C3_9,35.6497082,139.5027653,21.22515455152246,0.991683010681188,-1.3095760749570726,0,0,-0.9990355833611064,0.009681725178086,0,0,0,0,1
C3_10,35.649709699999995,139.5027498,19.907426033989385,0.9952340518328469,-1.207196071681715,0,0,-0.9990221080102456,-0.0092859347056985,0,0,0,0,1
C3_11,35.6497118,139.50274009999998,18.93124660570737,0.9161516457443636,-1.193278786605852,0,0,-0.9990777234816908,0.0013834804330186,0,0,0,0,1
C3_12,35.649715,139.50270709999998,15.803622446400334,0.7560141269030981,-0.9621912185711764,0,0,-0.998767936504417,-0.0034780131936819,0,0,0,0,1
C1,35.6497201,139.5026795,13.40744362470192,0.8103619719932464,-0.8146118208043975,0,0,-0.9987305584836668,-0.0236945803811128,0,0,0,0,1
