label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C5,35.6495943,139.50285499999998,32.03408261618349,-9.82145959856417,-1.77992627007647,0,0,0.7406965844095058,0.6710786252150563,0,0,0,0,1
C5_1,35.6495944,139.5028553,31.904248531618485,-9.77256389660137,-1.7591246663628075,0,0,0.2032903645931118,0.9788611308023722,0,0,0,0,1
C5_2,35.6495889,139.5028974,35.91131919560081,-9.598536918744855,-2.015675361719289,0,0,0.0253202559491705,0.9994493353399412,0,0,0,0,1
C5_3,35.649583199999995,139.5029403,39.97885255437062,-9.394959430182295,-2.286514366181871,0,0,0.0579440378776113,0.9980012178812868,0,0,0,0,1
C5_4,35.6495869,139.50295549999998,41.13659233797844,-8.68289108842919,-2.3897566676245594,0,0,0.5488269997477501,0.8352757015103391,0,0,0,0,1
C5_5,35.649623,139.5029593,40.60519497039326,-4.65342704487743,-2.4196962877074446,0,0,0.8129368742162189,0.5811176878994573,0,0,0,0,1
C4,35.6496273,139.5029588,40.40192133073468,-4.256120327475711,-2.401297992475423,0,0,0.8382706477552743,0.543969913232455,0,0,0,0,1
