label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C2,35.6497904,139.5027666,19.81905068283656,10.12104206834286,-1.4278519109019756,0,0,0.1139165590185614,0.9932553011809132,0,0,0,0,1
C2-C3_1,35.6497904,139.5027668,19.86757865458371,10.130983504147949,-1.4235517575971446,0,0,0.1172086503647658,0.9929426673565692,0,0,0,0,1
C2-C3_2,35.6497817,139.50280999999998,23.93035077838147,10.011582617294753,-1.665981025211824,0,0,-0.0850073904757629,0.996186824170855,0,0,0,0,1
C2-C3_3,35.6497646,139.50284969999998,27.763378135270425,8.828294880679582,-1.899500284561932,0,0,-0.2221253739334631,0.9747295940264308,0,0,0,0,1
C2-C3_4,35.6497345,139.5028711,30.366831047921536,5.713691653053565,-1.976051867667056,0,0,-0.5609305702869054,0.8272154149614684,0,0,0,0,1
C2-C3_5,35.649698,139.5028714,31.21903705079707,1.7732403048299163,-1.926585706618023,0,0,-0.7156751408323115,0.6974081248733827,0,0,0,0,1
C3,35.6496953,139.502871,31.181899996216607,1.443386924093366,-1.9502335535647517,0,0,-0.7190402284865123,0.693884389165559,0,0,0,0,1
