label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C5,35.6495967,139.5028518,31.581946610496168,-9.432856932603462,-1.7456020913553654,0,0,0.6563484218524319,-0.7537340426101043,0,0,0,0,1
C5-C7_1,35.6495967,139.502851,31.288284343916533,-9.534277391917138,-1.6964804085215357,0,0,0.9811094447843444,-0.1882471368726856,0,0,0,0,1
C5-C7_2,35.6495965,139.5028447,30.84877761505173,-9.607568210313032,-1.7035148321551634,0,0,0.9988368326632604,0.0124008634611222,0,0,0,0,1
C5-C7_3,35.649597,139.502841,30.61336181541798,-9.597115270234216,-1.6956977024426405,0,0,0.998661839157817,-0.0190513204932073,0,0,0,0,1
C5-C7_4,35.649597199999995,139.5028286,29.47851955157752,-9.816309033379946,-1.599443398126951,0,0,0.998997580697962,0.0050126006688904,0,0,0,0,1
C5-C7_5,35.649603,139.5028016,26.946862335959548,-9.755228766420974,-1.4573153494456696,0,0,0.999168964019732,-0.0050096765554091,0,0,0,0,1
C5-C7_6,35.6496059,139.502772,24.190303296614378,-9.941132916681555,-1.262891416809848,0,0,0.9988311829924236,0.0036097650267133,0,0,0,0,1
C5-C7_7,35.6496089,139.50275349999998,22.32483271586661,-10.012442720644216,-1.1684297065991625,0,0,0.9991455898619748,-0.0009585256833623,0,0,0,0,1
C5-C7_8,35.6496092,139.5027513,22.21963277936267,-10.030563100199894,-1.1629823116830778,0,0,0.9991938105335187,0.0011628511386163,0,0,0,0,1
C5-C7_9,35.6496102,139.5027445,21.551272742210504,-10.06501870911555,-1.1230465233287092,0,0,0.9990922808620878,-0.0009130708782677,0,0,0,0,1
C5-C7_10,35.6496107,139.5027399,21.295596187826167,-10.072903305403887,-1.133701373213053,0,0,0.99912887461735,0.0004424858423721,0,0,0,0,1
C5-C7_11,35.6496107,139.5027399,21.105259454537983,-10.07527889064208,-1.102537361827874,0,0,0.9990772034000172,-0.0009820294311644,0,0,0,0,1
C5-C7_12,35.649611199999995,139.5027376,20.89074282128208,-10.0697894950847,-1.1026983122755565,0,0,0.9987718466099972,0.0025889070626942,0,0,0,0,1
C5-C7_13,35.649611799999995,139.50273339999998,20.556471334052397,-10.07784739501604,-1.059697638800687,0,0,0.9985934444296604,-0.0023292149107724,0,0,0,0,1
C5-C7_14,35.6496123,139.5027287,20.13164854296468,-10.109946675957085,-1.006561655679418,0,0,0.999065867394472,-1.5141731600606244e-06,0,0,0,0,1
C5-C7_15,35.6496132,139.5027239,19.799965900973145,-10.116765688657454,-0.9988171212293184,0,0,0.9990700552109706,-0.0017490249403118,0,0,0,0,1
C5-C7_16,35.6496159,139.5027031,17.75787142136674,-10.19626554805315,-0.8763004234715777,0,0,0.999007814888628,0.0053923194174,0,0,0,0,1
C5-C7_17,35.6496225,139.502673,15.03327414689072,-10.032213250831884,-0.6907920958193285,0,0,0.9984846517110276,-0.0060934190618175,0,0,0,0,1
C7,35.6496242,139.5026586,13.836475965766628,-10.206360910085486,-0.6179903438289387,0,0,0.997409653263738,-0.0552436510319199,0,0,0,0,1
