label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
9,36.082936,140.0767686,34.9867601657158,-7.2836718122264,-0.900076487931166,0,0,0.008191477918742,0.999961113831645,2,2,0,0,1,35.3470420096709,-7.58085732302364,34.9867601657158,-7.2836718122264,4.31337372825027,0.46703558206147
10,36.0829352,140.0768149,39.0015834585008,-7.3746631329207,-0.987089530584909,0,0,-0.095134156156676,0.995411294544225,2,2,0,0,1,39.5123971774471,-7.66991291511703,39.0015834585008,-7.3746631329207,4.76065986688971,0.590002618088101
11,36.0829293,140.0768603,43.0520729241532,-7.92017155402408,-1.08128898949983,0,0,0.039989058255633,0.999193097084337,2,2,0,0,1,43.5967843179113,-8.32669791135384,43.0520729241532,-7.92017155402408,5.33417672980835,0.679686826188157
12,36.082927,140.076906,47.1250153999345,-8.13775594897039,-1.17220111318676,0,0,0.031741056615715,0.999496022357704,2,2,0,0,1,47.7081607991082,-8.58273274000653,47.1250153999345,-8.13775594897039,5.83491114503599,0.733527709863913
13,36.082925,140.0769505,51.1916779886813,-8.24493890766216,-1.26074546997323,0,0,0.034104491074678,0.999415659459178,2,2,0,0,1,51.7115799122602,-8.80537172182194,51.1916779886813,-8.24493890766216,6.41210455812561,0.764449441969909
14,36.0829301,140.0769661,52.62339444311,-7.47555693027458,-1.29859518016714,0,0,0.538560894529258,0.842539888236676,2,2,0,0,1,53.1150257147418,-8.23764231846948,52.62339444311,-7.47555693027458,6.77042786251966,0.906904320282185
15,36.0829668,140.076981,53.7590073727487,-3.53915669103081,-1.33761280203917,0,0,0.632970229814085,0.77413149028463,2,2,0,0,1,54.4554963837331,-4.15221700607202,53.7590073727487,-3.53915669103081,6.75520935925754,0.927868467133323
16,36.083003,140.0769802,53.6587804322746,0.593883012865328,-1.34908869114953,0,0,0.725367259093863,0.688311355954636,2,2,0,0,1,54.3835248033319,-0.122451439721635,53.6587804322746,0.593883012865328,6.88458802869434,1.01901396032744
17,36.0830404,140.0769809,53.6626527035646,4.71246338389714,-1.36468787976475,0,0,0.796382393148069,0.604592533832122,2,2,0,0,1,54.4464999368222,4.04089751635077,53.6626527035646,4.71246338389714,6.9218828742622,1.03219048607264
18,36.0830754,140.076974,52.9743687225281,8.70529320132726,-1.37298039508079,0,0,0.728263351297506,0.685013388106194,2,2,0,0,1,53.8257450641719,7.9370796937701,52.9743687225281,8.70529320132726,7.0567619939488,1.14673173336407
19,36.0831117,140.0769722,52.631114020695,12.7246979430195,-1.39315005284008,0,0,0.706400508883452,0.707448886748618,2,2,0,0,1,53.6638090095477,11.9779772093299,52.631114020695,12.7246979430195,7.19816897137671,1.27438251483745
20,36.0831489,140.0769741,52.8416600925051,16.7984797851954,-1.42177505084049,0,0,0.733033835708616,0.679536002379822,2,2,0,0,1,53.8347415110829,16.1190622669835,52.8416600925051,16.7984797851954,7.31126147018473,1.2032534512635
21,36.0831833,140.0769569,51.3183877643515,20.5540762088774,-1.36858295481562,0,0,0.843435912970505,0.536080817926069,2,2,0,0,1,52.2873525503559,19.9484527507283,51.3183877643515,20.5540762088774,7.25722944013731,1.14266028616429
