label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
0,36.0830041,140.0763757,-0.0207145297993491,-0.0125564643807722,0.003185739180312,0,0,8.947273318373977e-05,0.9999995028255224,0,0,0,0,1,1,0.0,0.0,-0.0220034029313565,-0.0101295015669128,0.0242230580760093,0.0242230580760093
1,36.082982,140.0764088,3.438657135423353,-2.105740287764738,-0.0670644730493056,0,0,-0.3193917208855407,0.947602815827809,0,0,0,0,1,-1,2.9778241039413094,-2.46016074601504,3.1780301376722284,-2.4816586184567155,0.5813612853736343,0.2013569329866355
2,36.082961,140.076448,7.205109665301912,-3.769798298343798,-0.2027621281423831,0,0,-0.0530233210920503,0.9985778232650886,0,0,0,0,1,-1,6.504431502688579,-4.797870053099416,6.731772081671449,-4.561603790296966,1.244138826855545,0.3278802918610732
3,36.0829566,140.0764934,11.205011489987823,-3.803647109310179,-0.3150058857460228,0,0,-0.0947883755605063,0.995471850974692,0,0,0,0,1,-1,10.588818643152718,-5.28767581277693,10.702101492233718,-5.048270740843007,1.6068711265076483,0.2648542851524125
4,36.0829514,140.0765385,15.23613695178028,-3.898519854052775,-0.3990336750006344,0,0,-0.0435709330337817,0.999040576865961,0,0,0,0,1,-1,14.646216440327178,-5.86653716454783,14.69654194289894,-5.599105391619295,2.0545311738304863,0.2721257234823637
5,36.0829502,140.0765845,19.27261815472747,-3.621998483466179,-0.500349122687854,0,0,-0.035297951460832,0.9993224060007576,0,0,0,0,1,-1,18.784582264813743,-6.000120553478881,18.738368425444406,-5.781542381101276,2.427682765462857,0.2234102423551549
6,36.0829458,140.0766304,23.429590881495056,-3.6163296493274175,-0.6118887777181518,0,0,0.0446794487782464,0.9989922737744428,0,0,0,0,1,-1,22.91395164238939,-6.489926313156395,22.86923385384256,-6.246736103366452,2.919493382639272,0.2472673831102587
7,36.0829415,140.07667619999998,27.43969678201437,-3.609352522775798,-0.7160399394050685,0,0,-0.0095094367272483,0.9999532277159616,0,0,0,0,1,-1,27.034324570497184,-6.968600123624491,26.85432569671645,-6.693995555513302,3.3836180448859823,0.3283401641436284
8,36.0829399,140.0767235,31.564549091374552,-3.348884131625297,-0.8073490498126322,0,0,0.0204140563298728,0.9997869929083482,0,0,0,0,1,-1,31.289644212496444,-7.146711308602237,30.98213644491476,-6.902391294147996,3.807763642693125,0.3927509345450279
9,36.082936,140.07676859999998,35.58658829506208,-3.2741404183832907,-0.9000764879311658,0,0,0.0081914779187421,0.9999611138316452,0,0,0,0,1,-1,35.3470420096709,-7.580857323023642,34.986760165715815,-7.283671812226397,4.313373728250275,0.4670355820614698
10,36.0829352,140.0768149,39.58588277076752,-2.909820244192569,-0.9870895305849086,0,0,-0.0951341561566755,0.9954112945442252,0,0,0,0,1,-1,39.51239717744715,-7.669912915117027,39.00158345850077,-7.374663132920695,4.760659866889713,0.5900026180881006
11,36.0829293,140.0768603,43.6720933241819,-2.9930528220735835,-1.0812889894998303,0,0,0.0399890582556326,0.9991930970843372,0,0,0,0,1,-1,43.5967843179113,-8.326697911353842,43.05207292415317,-7.920171554024077,5.334176729808348,0.6796868261881567
12,36.082927,140.07690599999998,47.74347115189547,-2.747928437422659,-1.1722011131867611,0,0,0.0317410566157151,0.9994960223577036,0,0,0,0,1,-1,47.70816079910817,-8.582732740006529,47.12501539993454,-8.137755948970385,5.834911145035989,0.7335277098639134
